,track_ids,track_name,artist_name,released_year,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
67,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,Flipp Dinero,2018,58,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,audio_features,14mHfNsSHN0FbLftyjrV9g,spotify:track:14mHfNsSHN0FbLftyjrV9g,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,195637,4
68,4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,2019,73,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,audio_features,4SSnFejRGlZikf02HLewEF,spotify:track:4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,193143,4
69,04TJium6kwLuyCfB47U452,Armed And Dangerous,Juice WRLD,2023,22,0.736,0.67,10,-6.702,1,0.312,0.185,0.0,0.114,0.845,130.034,audio_features,04TJium6kwLuyCfB47U452,spotify:track:04TJium6kwLuyCfB47U452,https://api.spotify.com/v1/tracks/04TJium6kwLuyCfB47U452,https://api.spotify.com/v1/audio-analysis/04TJium6kwLuyCfB47U452,169999,4
70,1ttPzkTSpQUFcEGx8bjerL,Every Season,Roddy Ricch,2018,63,0.936,0.704,5,-5.47,0,0.457,0.0632,0.0,0.104,0.566,130.022,audio_features,1ttPzkTSpQUFcEGx8bjerL,spotify:track:1ttPzkTSpQUFcEGx8bjerL,https://api.spotify.com/v1/tracks/1ttPzkTSpQUFcEGx8bjerL,https://api.spotify.com/v1/audio-analysis/1ttPzkTSpQUFcEGx8bjerL,214376,4
71,7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,2018,79,0.674,0.578,10,-5.804,1,0.0408,0.331,0.0,0.135,0.34,145.07,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
72,7J2qxslkqecdevC0MIfX4a,Dancing With A Stranger,"Sam Smith, Normani",2023,8,0.741,0.52,8,-7.513,1,0.0656,0.447,1.97e-06,0.222,0.347,102.998,audio_features,7J2qxslkqecdevC0MIfX4a,spotify:track:7J2qxslkqecdevC0MIfX4a,https://api.spotify.com/v1/tracks/7J2qxslkqecdevC0MIfX4a,https://api.spotify.com/v1/audio-analysis/7J2qxslkqecdevC0MIfX4a,171030,4
73,59ywHNwwchG4nZJMLyxSzd,Clout (feat. Cardi B),"Offset, Cardi B",2019,63,0.919,0.622,1,-7.384,1,0.0997,0.23,4.24e-06,0.122,0.423,140.022,audio_features,59ywHNwwchG4nZJMLyxSzd,spotify:track:59ywHNwwchG4nZJMLyxSzd,https://api.spotify.com/v1/tracks/59ywHNwwchG4nZJMLyxSzd,https://api.spotify.com/v1/audio-analysis/59ywHNwwchG4nZJMLyxSzd,205803,4
74,6iaSML1PIYq936g62BDtBq,Robbery,Juice WRLD,2019,77,0.623,0.692,2,-5.122,1,0.0504,0.328,0.0,0.153,0.566,79.899,audio_features,6iaSML1PIYq936g62BDtBq,spotify:track:6iaSML1PIYq936g62BDtBq,https://api.spotify.com/v1/tracks/6iaSML1PIYq936g62BDtBq,https://api.spotify.com/v1/audio-analysis/6iaSML1PIYq936g62BDtBq,240051,4
75,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,Drake,2018,72,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,2G7V7zsVDxg1yRsu7Ew9RJ,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,217925,4
76,3az62jBzapcmY6WHtgv955,lovely,"Billie Eilish, Khalid",2021,57,0.292,0.296,4,-10.109,0,0.0359,0.934,0.0,0.095,0.112,115.046,audio_features,3az62jBzapcmY6WHtgv955,spotify:track:3az62jBzapcmY6WHtgv955,https://api.spotify.com/v1/tracks/3az62jBzapcmY6WHtgv955,https://api.spotify.com/v1/audio-analysis/3az62jBzapcmY6WHtgv955,200186,4
